timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-29T10:05:44,,0,0.01798742,0.00000000,0.00000000,0.00000000,0,143,5,2,7950,143,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:06:12,,1,0.01786164,0.00000000,0.00000000,0.00000000,0,142,6,2,7950,142,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:06:39,,2,0.01685535,0.00000000,0.00000000,0.00000000,0,134,14,2,7950,134,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:07:09,,3,0.01496855,0.00000000,0.00000000,0.00000000,0,119,29,2,7950,119,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:07:38,,4,0.01220126,0.00000000,0.00000000,0.00000000,0,97,51,2,7950,97,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:08:07,,5,0.01194969,0.00000000,0.00000000,0.00000000,0,95,53,2,7950,95,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:08:37,,6,0.01018868,0.00000000,0.00000000,0.00000000,0,81,67,2,7950,81,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:09:06,,7,0.01119497,0.00000000,0.00000000,0.00000000,0,89,59,2,7950,89,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:09:35,,8,0.00943396,0.00000000,0.00000000,0.00000000,0,75,73,2,7950,75,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:10:05,,9,0.00955975,0.00000000,0.00000000,0.00000000,0,76,72,2,7950,76,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:10:33,,10,0.00981132,0.00000000,0.00000000,0.00000000,0,78,70,2,7950,78,53,1e-05,8,1,20,1,cpu,42
