timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-24T10:09:30,simulation 8,0,0.89840426,0.11794872,0.54761905,0.19409283,23,1666,172,19,1880,1689,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:09:40,simulation 8,1,0.89627660,0.11940299,0.57142857,0.19753086,24,1661,177,18,1880,1685,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:09:45,simulation 8,2,0.89893617,0.13366337,0.64285714,0.22131148,27,1663,175,15,1880,1690,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:10:02,simulation 8,3,0.89893617,0.14077670,0.69047619,0.23387097,29,1661,177,13,1880,1690,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:10:19,simulation 8,4,0.90212766,0.14500000,0.69047619,0.23966942,29,1667,171,13,1880,1696,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:10:36,simulation 8,5,0.89734043,0.13170732,0.64285714,0.21862348,27,1660,178,15,1880,1687,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:10:53,simulation 8,6,0.90159574,0.13333333,0.61904762,0.21940928,26,1669,169,16,1880,1695,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:11:10,simulation 8,7,0.89734043,0.13526570,0.66666667,0.22489960,28,1659,179,14,1880,1687,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:11:18,simulation 8,8,0.90212766,0.14500000,0.69047619,0.23966942,29,1667,171,13,1880,1696,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:11:23,simulation 8,9,0.90372340,0.14358974,0.66666667,0.23628692,28,1671,167,14,1880,1699,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:11:39,simulation 8,10,0.89893617,0.14423077,0.71428571,0.24000000,30,1660,178,12,1880,1690,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:11:56,simulation 8,11,0.89414894,0.13824885,0.71428571,0.23166023,30,1651,187,12,1880,1681,10,0.0005,8,1,94,1,cuda,42
2025-10-24T10:12:13,simulation 8,12,0.89574468,0.13679245,0.69047619,0.22834646,29,1655,183,13,1880,1684,10,0.0005,8,1,94,1,cuda,42
