timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-28T08:40:39,,0,0.95516667,0.00609756,0.00934579,0.00738007,1,5730,163,106,6000,5731,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:40:50,,1,0.95516667,0.03977273,0.06542056,0.04946996,7,5724,169,100,6000,5731,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:41:02,,2,0.95766667,0.07514451,0.12149533,0.09285714,13,5733,160,94,6000,5746,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:41:14,,3,0.96233333,0.13043478,0.19626168,0.15671642,21,5753,140,86,6000,5774,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:41:26,,4,0.96700000,0.15789474,0.19626168,0.17500000,21,5781,112,86,6000,5802,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:41:38,,5,0.96983333,0.23188406,0.29906542,0.26122449,32,5787,106,75,6000,5819,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:41:49,,6,0.97033333,0.25174825,0.33644860,0.28800000,36,5786,107,71,6000,5822,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:42:01,,7,0.97333333,0.28800000,0.33644860,0.31034483,36,5804,89,71,6000,5840,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:42:13,,8,0.97333333,0.30370370,0.38317757,0.33884298,41,5799,94,66,6000,5840,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:42:26,,9,0.97350000,0.30303030,0.37383178,0.33472803,40,5801,92,67,6000,5841,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:42:37,,10,0.97516667,0.33593750,0.40186916,0.36595745,43,5808,85,64,6000,5851,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:42:49,,11,0.97483333,0.32812500,0.39252336,0.35744681,42,5807,86,65,6000,5849,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:43:01,,12,0.97366667,0.32413793,0.43925234,0.37301587,47,5795,98,60,6000,5842,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:43:13,,13,0.97450000,0.33571429,0.43925234,0.38056680,47,5800,93,60,6000,5847,40,0.0005,2,1,16,1,cuda,42
2025-10-28T08:43:25,,14,0.97550000,0.35507246,0.45794393,0.40000000,49,5804,89,58,6000,5853,40,0.0005,2,1,16,1,cuda,42
