timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-27T16:52:33,,0,0.92659574,0.02941176,0.07142857,0.04166667,3,1739,99,39,1880,1742,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:35,,1,0.92553191,0.02884615,0.07142857,0.04109589,3,1737,101,39,1880,1740,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:37,,2,0.92500000,0.02857143,0.07142857,0.04081633,3,1736,102,39,1880,1739,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:39,,3,0.92446809,0.02830189,0.07142857,0.04054054,3,1735,103,39,1880,1738,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:41,,4,0.92234043,0.02727273,0.07142857,0.03947368,3,1731,107,39,1880,1734,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:43,,5,0.92127660,0.02678571,0.07142857,0.03896104,3,1729,109,39,1880,1732,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:45,,6,0.92127660,0.02678571,0.07142857,0.03896104,3,1729,109,39,1880,1732,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:47,,7,0.92021277,0.02631579,0.07142857,0.03846154,3,1727,111,39,1880,1730,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:49,,8,0.91968085,0.02608696,0.07142857,0.03821656,3,1726,112,39,1880,1729,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:51,,9,0.91968085,0.03418803,0.09523810,0.05031447,4,1725,113,38,1880,1729,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:53,,10,0.91861702,0.03361345,0.09523810,0.04968944,4,1723,115,38,1880,1727,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:55,,11,0.91808511,0.03333333,0.09523810,0.04938272,4,1722,116,38,1880,1726,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:57,,12,0.91808511,0.03333333,0.09523810,0.04938272,4,1722,116,38,1880,1726,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:52:59,,13,0.91755319,0.03305785,0.09523810,0.04907975,4,1721,117,38,1880,1725,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:53:01,,14,0.91702128,0.03278689,0.09523810,0.04878049,4,1720,118,38,1880,1724,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:53:03,,15,0.91648936,0.03252033,0.09523810,0.04848485,4,1719,119,38,1880,1723,10,1e-05,4,1,2,0,cuda,42
2025-10-27T16:53:05,,16,0.91489362,0.03174603,0.09523810,0.04761905,4,1716,122,38,1880,1720,10,1e-05,4,1,2,0,cuda,42
