timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-27T18:01:38,,0,0.95031447,0.05147059,0.09271523,0.06619385,14,7541,258,137,7950,7555,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:01:42,,1,0.96515723,0.06250000,0.05960265,0.06101695,9,7664,135,142,7950,7673,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:01:46,,2,0.96540881,0.05714286,0.05298013,0.05498282,8,7667,132,143,7950,7675,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:01:50,,3,0.96213836,0.04268293,0.04635762,0.04444444,7,7642,157,144,7950,7649,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:01:53,,4,0.96201258,0.02515723,0.02649007,0.02580645,4,7644,155,147,7950,7648,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:01:57,,5,0.96238994,0.02564103,0.02649007,0.02605863,4,7647,152,147,7950,7651,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:02:01,,6,0.96201258,0.01910828,0.01986755,0.01948052,3,7645,154,148,7950,7648,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:02:05,,7,0.96176101,0.01273885,0.01324503,0.01298701,2,7644,155,149,7950,7646,53,0.001,32,1,1,1,cuda,42
2025-10-27T18:02:09,,8,0.96213836,0.01923077,0.01986755,0.01954397,3,7646,153,148,7950,7649,53,0.001,32,1,1,1,cuda,42
