timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-27T17:23:04,,0,0.96247799,0.02529183,0.02567479,0.02548187,39,76478,1503,1480,79500,76517,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:23:12,,1,0.96330818,0.02834008,0.02764977,0.02799067,42,76541,1440,1477,79500,76583,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:23:19,,2,0.96327044,0.04364821,0.04410797,0.04387688,67,76513,1468,1452,79500,76580,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:23:26,,3,0.96335849,0.03533333,0.03489138,0.03511096,53,76534,1447,1466,79500,76587,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:23:33,,4,0.96306918,0.01966102,0.01909151,0.01937208,29,76535,1446,1490,79500,76564,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:23:40,,5,0.96255346,0.00408163,0.00394997,0.00401472,6,76517,1464,1513,79500,76523,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:23:46,,6,0.96283019,0.02260638,0.02238315,0.02249421,34,76511,1470,1485,79500,76545,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:23:54,,7,0.96283019,0.02260638,0.02238315,0.02249421,34,76511,1470,1485,79500,76545,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:24:01,,8,0.96245283,0.02340702,0.02369980,0.02355250,36,76479,1502,1483,79500,76515,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:24:08,,9,0.96246541,0.02342225,0.02369980,0.02356021,36,76480,1501,1483,79500,76516,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:24:15,,10,0.97129560,0.04201681,0.02304147,0.02976190,35,77183,798,1484,79500,77218,53,0.05,8,1,2,0,cuda,42
2025-10-27T17:24:23,,11,0.96252830,0.02287582,0.02304147,0.02295835,35,76486,1495,1484,79500,76521,53,0.05,8,1,2,0,cuda,42
