timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-29T10:52:17,,0,0.05911950,0.50000000,0.16666667,0.25000000,1,5,1,5,7950,470,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:52:45,,1,0.08213836,0.50000000,0.14285714,0.22222222,1,6,1,6,7950,653,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:53:12,,2,0.11320755,0.50000000,0.07142857,0.12500000,1,13,1,13,7950,900,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:53:40,,3,0.23798742,0.50000000,0.03125000,0.05882353,1,31,1,31,7950,1892,53,1e-05,8,1,20,1,cpu,42
2025-10-29T10:54:07,,4,0.32012579,0.50000000,0.02272727,0.04347826,1,43,1,43,7950,2545,53,1e-05,8,1,20,1,cpu,42
